[검색조건],,,
지점명 : 서울, 기간 : 20210101 ~ 20210430,,
일자,기온(°C),풍속(km/h),체감온도(°C)
2021-01-01,-9.7,8.6,-14.4
2021-01-02,-6.5,15.1,-12.5
2021-01-03,-7.8,11.5,-13.1
2021-01-04,-8.2,10.8,-13.4
2021-01-05,-9.4,11.2,-14.9
2021-01-06,-11.9,8.3,-16.8
2021-01-07,-16.3,22.7,-26.4
2021-01-08,-17.9,14.8,-26.4
2021-01-09,-15.4,11.9,-22.4
2021-01-10,-12.5,9,-17.9
2021-01-11,-8.4,10.8,-13.6
2021-01-12,-9.3,10.4,-14.6
2021-01-13,-3,9.7,-6.8
2021-01-14,-2.7,10.1,-6.6
2021-01-15,-0.3,12.2,-4.2
2021-01-16,-8.3,15.5,-14.8
2021-01-17,-9.7,11.5,-15.4
2021-01-18,-8,17.3,-14.8
2021-01-19,-9.9,16.9,-17.1
2021-01-20,-6.2,15.5,-12.2
2021-01-21,2.6,11.2,-0.5
2021-01-22,5,9.7,2.7
2021-01-23,5.2,16.2,1.8
2021-01-24,2.5,8.3,0.1
2021-01-25,3.1,9.4,0.5
2021-01-26,1.8,6.1,0
2021-01-27,-1.8,7.2,-4.6
2021-01-28,-9.7,28.4,-18.9
2021-01-29,-11.5,18.4,-19.4
2021-01-30,-7.8,8.6,-12.1
2021-02-01,-2.3,19.4,-8
2021-02-02,-8.1,14.8,-14.4
2021-02-03,-8,13.7,-14
2021-02-04,-7.3,13,-12.9
2021-02-05,-4.1,10.8,-8.4
2021-02-06,4.8,10.4,2.3
2021-02-07,-2.2,13.7,-6.9
2021-02-08,-5.3,14,-10.7
2021-02-09,-4.9,9.4,-9
2021-02-10,-1.5,9,-4.8
2021-02-11,1.6,5.4,0.1
2021-02-12,0.6,8.6,-2.2
2021-02-13,1.1,7.9,-1.4
2021-02-14,6.5,8.3,4.8
2021-02-15,-5,16.9,-11
2021-02-16,-6.9,25.6,-14.9
2021-02-17,-10.1,22,-18.4
2021-02-18,-10.4,15.5,-17.4
2021-02-19,-7,10.8,-11.9
2021-02-20,5.5,13.3,2.6
2021-02-21,4.9,7.9,3
2021-02-22,0.4,14,-3.7
2021-02-23,-2.5,14.8,-7.5
2021-02-24,-2.5,10.1,-6.3
2021-02-25,0.8,8.6,-2
2021-02-26,0.7,9.7,-2.4
2021-02-27,4.3,18,0.4
2021-03-01,1,16.6,-3.5
2021-03-02,0.5,9.4,-2.6
2021-03-03,-1.1,8.6,-4.2
2021-03-04,2.6,8.6,0.1
2021-03-05,3.2,7.6,1.1
2021-03-06,3.4,16.6,-0.5
2021-03-07,2.4,18.7,-2
2021-03-08,1.5,6.5,-0.5
2021-03-09,2.5,9,-0.1
2021-03-10,1.7,9.4,-1.1
2021-03-11,5,6.8,3.5
2021-03-12,7.5,10.8,5.5
2021-03-13,4.6,9.7,2.2
2021-03-14,5.4,9.4,3.3
2021-03-15,5.2,10.1,2.9
2021-03-16,5.8,18.7,2.2
2021-03-17,1.8,8.3,-0.7
2021-03-18,5,9.4,2.8
2021-03-19,,,
2021-03-20,7.7,14,5.2
2021-03-21,4.2,23.8,-0.4
2021-03-22,1.5,9.4,-1.4
2021-03-23,2.8,8.6,0.4
2021-03-24,5.7,8.3,3.9
2021-03-25,7.1,10.1,5.1
2021-03-26,4.9,6.5,3.4
2021-03-27,,,
2021-03-28,7.7,21.2,4.3
2021-03-29,8.2,13,6
2021-03-30,4.3,8.3,2.2
2021-03-31,5.9,9.7,3.8
2021-04-01,,,
2021-04-02,,,
2021-04-03,,,
2021-04-04,9.6,16.6,7.2
2021-04-05,5.6,9.7,3.4
2021-04-06,9.5,6.8,8.7
2021-04-07,8.7,9.7,7.1
2021-04-08,7.2,10.4,5.2
2021-04-09,7.8,13.3,5.4
2021-04-10,7.7,14,5.2
2021-04-11,7.5,7.6,6.2
2021-04-12,,,
2021-04-13,5.7,10.8,3.3
2021-04-14,3.4,6.5,1.7
2021-04-15,6.6,8.3,4.9
2021-04-16,8.5,5.8,7.8
2021-04-17,6.1,6.8,4.7
2021-04-18,5.7,10.4,3.4
2021-04-19,5.8,6.5,4.5
2021-04-20,8.1,7.6,6.9
2021-04-21,,,
2021-04-22,,,
2021-04-23,,,
2021-04-24,,,
2021-04-25,,,
2021-04-26,,,
2021-04-27,,,
2021-04-28,,,
2021-04-29,,,
2021-04-30,9.4,16.2,7
