[검색조건],,,
지점명 : 서울, 기간 : 20210501 ~ 20210930,,
일자,기온(°C),습도(%rh),체감온도(°C)
2021-05-01,15.2,52.9,15.9
2021-05-02,18.7,49.8,19.1
2021-05-03,20.2,33.1,19.2
2021-05-04,15.8,98.9,19.3
2021-05-05,18,48.4,18.3
2021-05-06,23,40,22.4
2021-05-07,16.4,72,18.3
2021-05-08,21,41,20.6
2021-05-09,21.7,28.4,20.1
2021-05-10,14.6,69.2,16.3
2021-05-11,25.5,32,24
2021-05-12,27.6,33.3,26
2021-05-13,29.5,39.3,28.5
2021-05-14,30.7,39.3,29.6
2021-05-15,26.2,60,27.2
2021-05-16,20.8,98.6,24.4
2021-05-17,16.7,90.5,19.7
2021-05-18,24.3,57.2,25.1
2021-05-19,26,41.6,25.4
2021-05-20,22.9,52.4,23.3
2021-05-21,17.5,88.2,20.4
2021-05-22,23.7,57.9,24.5
2021-05-23,25.1,50.6,25.3
2021-05-24,24.4,47.2,24.4
2021-05-25,19.3,60.8,20.4
2021-05-26,22.9,38.8,22.2
2021-05-27,18.7,81.6,21.2
2021-05-28,19.6,73.8,21.6
2021-05-29,19.1,67.2,20.6
2021-05-30,26.2,43.5,25.8
2021-05-31,23.8,65.2,25.2
2021-06-01,23.9,62.5,25.1
2021-06-02,29.5,42.2,28.8
2021-06-03,21.9,76.2,24.1
2021-06-04,23.2,47.2,23.2
2021-06-05,24.9,61.1,26
2021-06-06,28.2,51,28.4
2021-06-07,24,60.2,25
2021-06-08,29.3,52.1,29.6
2021-06-09,31.6,41.2,30.7
2021-06-10,29.8,46.8,29.6
2021-06-11,24.4,73.4,26.3
2021-06-12,30.1,56.7,30.7
2021-06-13,29.7,55.5,30.3
2021-06-14,30.2,56,30.8
2021-06-15,25.3,69.7,27
2021-06-16,28.9,48.9,28.9
2021-06-17,24.9,61,26
2021-06-18,21.1,88.8,24.1
2021-06-19,27.3,58.7,28.2
2021-06-20,29,51.4,29.2
2021-06-21,28.4,49.8,28.5
2021-06-22,28.5,47.1,28.3
2021-06-23,27.7,52.3,28
2021-06-24,27.9,57.8,28.7
2021-06-25,29.4,51.2,29.6
2021-06-26,26.7,66,28.1
2021-06-27,30.8,48.5,30.7
2021-06-28,29.2,60.9,30.2
2021-06-29,28.3,60,29.3
2021-06-30,28.7,60.2,29.7
2021-07-01,30.6,56.7,31.3
2021-07-02,31.6,53,31.9
2021-07-03,25.7,66.4,27.2
2021-07-04,23.1,98.2,26.8
2021-07-05,26.7,69.7,28.4
2021-07-06,30,57.5,30.7
2021-07-07,29.1,69.1,30.8
2021-07-08,29.7,69.8,31.5
2021-07-09,29.2,64.9,30.6
2021-07-10,29.1,66.7,30.6
2021-07-11,27.5,83.5,30.3
2021-07-12,32.3,63.6,33.6
2021-07-13,31.4,66.1,32.9
2021-07-14,33.4,60.5,34.4
2021-07-15,34.5,55.5,35
2021-07-16,35.1,51.3,35.2
2021-07-17,32.8,53.6,33.2
2021-07-18,34,49.4,33.9
2021-07-19,30.5,62.7,31.7
2021-07-20,31.8,62.1,33
2021-07-21,35.1,49,35
2021-07-22,35.7,41.5,34.7
2021-07-23,35.4,49.2,35.3
2021-07-24,36.5,41.6,35.5
2021-07-25,35.8,44.3,35.1
2021-07-26,35.3,46.2,34.9
2021-07-27,35.7,47.5,35.4
2021-07-28,34.4,56.9,35.1
2021-07-29,33.3,60.7,34.3
2021-07-30,35.3,46.1,34.9
2021-07-31,34,57.8,34.7
2021-08-01,28.8,81.7,31.5
2021-08-02,28.6,71.1,30.5
2021-08-03,31.4,66.1,32.9
2021-08-04,33,58.2,33.8
2021-08-05,33.7,54.8,34.2
2021-08-06,32.2,61.3,33.3
2021-08-07,32.3,50.8,32.4
2021-08-08,32,60.1,33
2021-08-09,33.6,45.2,33.1
2021-08-10,32.1,50.9,32.2
2021-08-11,31.5,57.8,32.3
2021-08-12,31.7,57,32.4
2021-08-13,30.1,60.6,31.1
2021-08-14,30.4,52.7,30.7
2021-08-15,32.2,45.6,31.8
2021-08-16,32.6,43.8,31.9
2021-08-17,31.2,49.4,31.1
2021-08-18,31,48.6,30.9
2021-08-19,31.4,44.8,30.9
2021-08-20,30.6,52.6,30.9
2021-08-21,25.4,83.1,28.1
2021-08-22,26.8,69.6,28.5
2021-08-23,23.9,87.3,26.9
2021-08-24,26.4,93,29.8
2021-08-25,27.3,76.2,29.5
2021-08-26,27.7,81.9,30.4
2021-08-27,25.5,87.3,28.5
2021-08-28,28.2,60.7,29.2
2021-08-29,26.3,70.2,28.1
2021-08-30,27.7,63.2,28.9
2021-08-31,23,89.7,26.1
2021-09-01,23.9,74.7,26
2021-09-02,26.5,61.5,27.6
2021-09-03,29.2,43,28.6
2021-09-04,28.6,48.7,28.6
2021-09-05,27.2,55.3,27.7
2021-09-06,26.4,52.9,26.8
2021-09-07,20.9,98.9,24.6
2021-09-08,26.7,63.5,28
2021-09-09,29.1,52.2,29.4
2021-09-10,28.9,52.7,29.2
2021-09-11,29.4,52.2,29.7
2021-09-12,29.2,53.2,29.6
2021-09-13,30.2,54.5,30.7
2021-09-14,29.4,46.5,29.1
2021-09-15,28.8,46.9,28.6
2021-09-16,27.2,49.8,27.3
2021-09-17,28.1,50.2,28.2
2021-09-18,29.8,47.2,29.6
2021-09-19,27.3,62.5,28.5
2021-09-20,28.3,50.6,28.4
2021-09-21,26.2,64.2,27.5
2021-09-22,24,67.1,25.5
2021-09-23,25.9,50.5,26.1
2021-09-24,26.7,52.2,27
2021-09-25,23.1,69.3,24.8
2021-09-26,27.3,51.9,27.6
2021-09-27,25,56.4,25.7
2021-09-28,24.3,63,25.5
2021-09-29,21.3,98.3,24.9
2021-09-30,25.9,65.3,27.3
