[검색조건],,,
지점명 : 서울, 기간 : 20230501 ~ 20230906,,
일자,기온(°C),습도(%rh),체감온도(°C)
2023-05-01,20.8,32.8,19.2
2023-05-02,23.7,25.8,21.1
2023-05-03,25.3,42.4,24.3
2023-05-04,25.6,53.6,25.6
2023-05-05,20.3,100,23.5
2023-05-06,15.5,97.8,18.4
2023-05-07,18.6,40.3,17.7
2023-05-08,21.7,41.2,20.8
2023-05-09,24.4,35,22.7
2023-05-10,25.7,31.4,23.6
2023-05-11,26.7,34.9,24.8
2023-05-12,24.4,30.6,22.3
2023-05-13,23.8,43.6,23
2023-05-14,23.5,42.6,22.6
2023-05-15,27.8,38.4,26.3
2023-05-16,31,39,29.4
2023-05-17,28.7,39.4,27.2
2023-05-18,27.2,54.3,27.2
2023-05-19,27.8,46.4,27.1
2023-05-20,26.7,55,26.8
2023-05-21,21.1,59.9,21.6
2023-05-22,26.7,33.1,24.7
2023-05-23,26.6,32.8,24.6
2023-05-24,25.9,37.7,24.4
2023-05-25,27.4,28.8,24.9
2023-05-26,27.3,40.2,26
2023-05-27,20.6,83.6,22.7
2023-05-28,20.2,100,23.4
2023-05-29,28.5,62.6,29.2
2023-05-30,28.9,51.2,28.6
2023-05-31,28.1,49.3,27.6
2023-06-01,26.3,58.9,26.7
2023-06-02,24.9,62.5,25.6
2023-06-03,27.7,40.8,26.4
2023-06-04,26.7,50.8,26.4
2023-06-05,26.3,48.4,25.8
2023-06-06,24.8,57.9,25.1
2023-06-07,25.7,65,26.6
2023-06-08,23.8,68.3,24.9
2023-06-09,27,59.6,27.4
2023-06-10,28.3,52.2,28.1
2023-06-11,27.2,56.9,27.4
2023-06-12,27.4,51,27.1
2023-06-13,25.9,59.1,26.3
2023-06-14,25,57.5,25.2
2023-06-15,28.2,54.6,28.2
2023-06-16,28.9,49.2,28.4
2023-06-17,30.2,46.1,29.4
2023-06-18,32.6,45,31.6
2023-06-19,33.9,45.3,32.9
2023-06-20,26.4,64.3,27.2
2023-06-21,22,91.3,24.7
2023-06-22,26.4,65,27.2
2023-06-23,29.8,55.3,29.8
2023-06-24,31.1,59.2,31.4
2023-06-25,33.1,52.5,32.8
2023-06-26,27.5,61.4,28.1
2023-06-27,29.1,55.7,29.2
2023-06-28,30,64.4,30.8
2023-06-29,25.9,86.2,28.4
2023-06-30,29,77.3,30.9
2023-07-01,32.9,62.2,33.6
2023-07-02,30.4,69.4,31.7
2023-07-03,34.6,52.2,34.3
2023-07-04,29.2,70.7,30.6
2023-07-05,27,71.7,28.4
2023-07-06,31.8,59.4,32.2
2023-07-07,31.3,55.4,31.3
2023-07-08,29.5,69.5,30.8
2023-07-09,26.9,82.9,29.1
2023-07-10,30.8,63.5,31.6
2023-07-11,25.8,91.1,28.6
2023-07-12,28.9,76.2,30.7
2023-07-13,26.5,94.7,29.6
2023-07-14,25.1,99.3,28.5
2023-07-15,25.2,99.3,28.6
2023-07-16,25.2,97.2,28.4
2023-07-17,27.7,78.2,29.6
2023-07-18,27.7,78,29.6
2023-07-19,32,64.6,32.9
2023-07-20,32.3,62.7,33
2023-07-21,34.1,53.1,33.9
2023-07-22,32.4,57.3,32.6
2023-07-23,25.6,98.5,28.9
2023-07-24,30,72.4,31.5
2023-07-25,30.5,70.6,31.9
2023-07-26,31.1,72.1,32.6
2023-07-27,32.1,66,33.1
2023-07-28,33.9,56.4,34
2023-07-29,33.3,62.6,34
2023-07-30,34.9,53.1,34.7
2023-07-31,33.2,64.7,34.1
2023-08-01,34.1,60.3,34.6
2023-08-02,33.2,61.2,33.8
2023-08-03,33.7,59.3,34.1
2023-08-04,34.3,56.9,34.5
2023-08-05,34.8,54,34.7
2023-08-06,33,68,34.2
2023-08-07,34.6,58.3,34.9
2023-08-08,35.8,50.1,35.3
2023-08-09,31.6,60.1,32.1
2023-08-10,25.1,82.1,27.2
2023-08-11,24.8,91.3,27.6
2023-08-12,24.1,90.6,26.8
2023-08-13,30.7,69.5,32
2023-08-14,31.8,64.7,32.7
2023-08-15,32.7,62.9,33.4
2023-08-16,31.6,60.9,32.1
2023-08-17,32.4,57.9,32.7
2023-08-18,33.3,60,33.8
2023-08-19,33.6,56.5,33.7
2023-08-20,31.8,61.8,32.4
2023-08-21,33.5,60.1,34
2023-08-22,32.1,62.8,32.8
2023-08-23,27.1,84.4,29.5
2023-08-24,27.8,76.2,29.6
2023-08-25,29.9,64.8,30.8
2023-08-26,30.3,60.3,30.8
2023-08-27,29.5,67.4,30.6
2023-08-28,25.6,78,27.4
2023-08-29,25.2,95.3,28.3
2023-08-30,24.2,85.9,26.6
2023-08-31,27.8,65.6,28.7
2023-09-01,29.5,50.3,29.1
2023-09-02,30.7,47.2,30
2023-09-03,28.7,72.6,30.2
2023-09-04,30.2,68.6,31.4
2023-09-05,32.7,58.9,33
2023-09-06,31.8,52.3,31.5
