호선,역명,요일,비율
1,동대문,금,1.0620007461837206
1,동대문,목,1.0212165098554926
1,동대문,수,1.0268261000811765
1,동대문,월,1.0052717681316827
1,동대문,일,0.8725403809375781
1,동대문,토,0.9887741297451902
1,동대문,화,1.0233703650651598
1,동묘앞,금,0.9620838959017542
1,동묘앞,목,0.9023948046820655
1,동묘앞,수,0.9006224223792956
1,동묘앞,월,0.844392190001662
1,동묘앞,일,1.2132587145158515
1,동묘앞,토,1.280035693317456
1,동묘앞,화,0.8972122792019153
1,서울역,금,1.1910794454117228
1,서울역,목,1.08506859572367
1,서울역,수,1.0725416628557343
1,서울역,월,1.0552346668742947
1,서울역,일,0.6746086757098076
1,서울역,토,0.862706728550129
1,서울역,화,1.0587602248746413
1,시청,금,1.1714874071013202
1,시청,목,1.172723308069791
1,시청,수,1.1875765754581291
1,시청,월,1.091107880891558
1,시청,일,0.4604319074166178
1,시청,토,0.7389081398761776
1,시청,화,1.1777647811864067
1,신설동,금,1.1673212015976007
1,신설동,목,1.1228685942879386
1,신설동,수,1.12961392069691
1,신설동,월,1.0972268378853836
1,신설동,일,0.5811940726959243
1,신설동,토,0.8000503936337748
1,신설동,화,1.1017249792024688
1,제기동,금,1.10944841318492
1,제기동,목,1.0838150115466838
1,제기동,수,1.0733885471003424
1,제기동,월,1.0554069223927305
1,제기동,일,0.624974208689285
1,제기동,토,0.9687884199311083
1,제기동,화,1.0841784771549303
1,종각,금,1.1891470581946546
1,종각,목,1.1822612421088434
1,종각,수,1.1954009291785148
1,종각,월,1.1300161470068497
1,종각,일,0.4426706581613155
1,종각,토,0.6921441685698906
1,종각,화,1.168359796779931
1,종로3가,금,1.1351245822792688
1,종로3가,목,1.0763877011994945
1,종로3가,수,1.068794790880818
1,종로3가,월,1.0178129572141326
1,종로3가,일,0.6318850000694352
1,종로3가,토,1.0143441619991944
1,종로3가,화,1.055650806357656
1,종로5가,금,1.1489702806848456
1,종로5가,목,1.111457485038673
1,종로5가,수,1.102675503036087
1,종로5가,월,1.062222202749964
1,종로5가,일,0.5141767621422191
1,종로5가,토,0.95531362518563
1,종로5가,화,1.1051841411625813
1,청량리,금,1.1131734286822608
1,청량리,목,1.070467870418993
1,청량리,수,1.0579798070966722
1,청량리,월,1.0381360227041245
1,청량리,일,0.6769835255980375
1,청량리,토,0.9721277010712593
1,청량리,화,1.0711316444286516
2,강남,금,1.2069904554500483
2,강남,목,1.1443665269986272
2,강남,수,1.1429242389632739
2,강남,월,1.1122707011467972
2,강남,일,0.4476206587026976
2,강남,토,0.8043810631604182
2,강남,화,1.1414463555781373
2,강변,금,1.1570763180571002
2,강변,목,1.0477447646974005
2,강변,수,1.0342794700058522
2,강변,월,1.0278855600937093
2,강변,일,0.752772893486467
2,강변,토,0.9583355780021511
2,강변,화,1.0219054156573204
2,건대입구,금,1.125437097858623
2,건대입구,목,1.0430052981048668
2,건대입구,수,1.0368186384367717
2,건대입구,월,0.987682539978552
2,건대입구,일,0.7577747851440848
2,건대입구,토,1.0308069064127745
2,건대입구,화,1.0184747340643274
2,교대,금,1.222764423074611
2,교대,목,1.2130379713598578
2,교대,수,1.224064492138979
2,교대,월,1.1693513041984973
2,교대,일,0.3495580137446071
2,교대,토,0.6024129887285341
2,교대,화,1.2188108067549137
2,구로디지털단지,금,1.1844777635772503
2,구로디지털단지,목,1.1768497783458964
2,구로디지털단지,수,1.1826469057403683
2,구로디지털단지,월,1.1487470009650032
2,구로디지털단지,일,0.45496516123030545
2,구로디지털단지,토,0.6739091518986722
2,구로디지털단지,화,1.1784042382425046
2,구의,금,1.1657311268750417
2,구의,목,1.1406292601641939
2,구의,수,1.148157403905921
2,구의,월,1.1004618972807574
2,구의,일,0.523863107963638
2,구의,토,0.7818080724149703
2,구의,화,1.1393491313954782
2,낙성대,금,1.1522232423641428
2,낙성대,목,1.1112385062176426
2,낙성대,수,1.1171130938859246
2,낙성대,월,1.0630907633945947
2,낙성대,일,0.5963344798679459
2,낙성대,토,0.8599522696173344
2,낙성대,화,1.1000476446524146
